[16/3/2026, 07:59:40] SAPAN-HK: ‎Messages and calls are end-to-end encrypted. Only people in this chat can read, listen to, or share them.
[16/3/2026, 07:59:40] Johan: ‎Johan created this group
[30/3/2026, 13:51:04] ~ Sapan: Hello
[30/3/2026, 13:51:14] ANGEL BOSS: ‎This message was deleted.
[30/3/2026, 13:51:40] ~ Max: +1.2
[30/3/2026, 13:51:46] ANGEL BOSS: Ok
[30/3/2026, 13:51:48] ~ Sapan: Yes
[30/3/2026, 13:52:07] ~ Max: Want to fix spot?
[30/3/2026, 13:52:13] ~ Sapan: Yes
[30/3/2026, 13:52:27] ~ Max: @⁨Lin⁩  buy 10kg silver spot
[30/3/2026, 13:52:29] Lin: Ok
[30/3/2026, 13:52:53] ~ Sapan: Pls send price pls
[30/3/2026, 13:52:54] Lin: 70.51
[30/3/2026, 13:53:04] Lin: Buy 10k
[30/3/2026, 13:54:12] Gusini: 70.51+1.2=71.71/31.1035*10000=23055.28
[30/3/2026, 13:55:25] ~ Sapan: ‎This message was deleted.
[30/3/2026, 13:55:41] Lin: Locked
[30/3/2026, 13:55:41] ANGEL BOSS: Locked
[30/3/2026, 14:04:06] ~ OE Jewellery Ltd: ‎~ Sapan added ~ OE Jewellery Ltd
[30/3/2026, 14:04:08] ~ Sapan:
[30/3/2026, 14:21:56] ~ OE Jewellery Ltd: Address
[30/3/2026, 14:22:08] Gusini: TKgNpBkN6gn4Txs8PMQrhJfC9enL3wZvcB
[30/3/2026, 14:22:13] ANGEL BOSS: TKgNpBkN6gn4Txs8PMQrhJfC9enL3wZvcB
[30/3/2026, 14:22:20] Gusini: Please test the small amount before payment
[30/3/2026, 14:22:52] ~ OE Jewellery Ltd: Ok
[30/3/2026, 14:23:42] ~ OE Jewellery Ltd: Where to pick up?
[30/3/2026, 14:23:55] ~ OE Jewellery Ltd: 可以發中文
[30/3/2026, 14:23:59] ~ OE Jewellery Ltd: 給客人
[30/3/2026, 14:24:01] ~ Max: Cancel this order
[30/3/2026, 14:24:14] Gusini: 付款前请先测试小笔金额
[30/3/2026, 14:24:25] ~ Sapan: Please write in English
[30/3/2026, 14:24:53] ~ OE Jewellery Ltd: Send pick up address to the client
[30/3/2026, 14:24:57] ~ OE Jewellery Ltd: By Chinese
‎[30/3/2026, 14:27:00] ~ OE Jewellery Ltd: ‎<attached: 00003063-PHOTO-2026-03-30-14-27-00.jpg>
[30/3/2026, 14:27:03] ~ OE Jewellery Ltd: Check
[30/3/2026, 14:27:53] Adam Yogesh: recvd
‎[30/3/2026, 14:29:26] ~ OE Jewellery Ltd: ‎<attached: 00003066-PHOTO-2026-03-30-14-29-26.jpg>
[30/3/2026, 14:29:29] ~ OE Jewellery Ltd: Check
[30/3/2026, 14:29:48] ~ OE Jewellery Ltd: B432? Or A609?
[30/3/2026, 14:29:59] Adam Yogesh: RECVD
[30/3/2026, 14:31:18] ~ OE Jewellery Ltd: Complete all payments
[30/3/2026, 14:31:30] ~ OE Jewellery Ltd: ?
[30/3/2026, 14:31:42] Gusini: The money has been collected.
[30/3/2026, 14:31:52] Gusini: 609
[30/3/2026, 14:32:01] ~ OE Jewellery Ltd: 👌🏻
[30/3/2026, 14:57:09] ~ OE Jewellery Ltd: Client coming
[30/3/2026, 14:58:24] ~ Max: Send token
[30/3/2026, 14:58:44] ~ OE Jewellery Ltd: Ok I asking
‎[30/3/2026, 14:59:39] ~ OE Jewellery Ltd: ‎<attached: 00003078-PHOTO-2026-03-30-14-59-39.jpg>
[30/3/2026, 15:00:58] ~ OE Jewellery Ltd: The client not finish all the payment in my side so please let me confirm all the payment and give the goods
[30/3/2026, 15:01:10] ~ OE Jewellery Ltd: Thx
[30/3/2026, 15:02:41] ~ OE Jewellery Ltd: Client done ✔️
[30/3/2026, 15:02:53] ~ OE Jewellery Ltd: Can give the goods
[30/3/2026, 15:03:11] ~ Sapan: Thank you
[30/3/2026, 15:04:01] ~ Max: Next time better send token once all clear from your end or else we may release the goods
So better not create confusion
[30/3/2026, 15:04:18] ~ Sapan: Kk
[30/3/2026, 15:04:20] ~ Max: For your safety
[30/3/2026, 15:05:23] ~ OE Jewellery Ltd: Ok thx
‎[30/3/2026, 15:13:20] Gusini: 付10kg ‎<attached: 00003088-PHOTO-2026-03-30-15-13-20.jpg>
[30/3/2026, 15:13:31] ~ OE Jewellery Ltd: Thanks
‎[30/3/2026, 18:22:28] Gusini: ‎<attached: 00003090-PHOTO-2026-03-30-18-22-28.jpg>
[30/3/2026, 21:25:57] Lin: This order working,keep or cancel?
[30/3/2026, 21:26:06] ~ Max: Cancel
[30/3/2026, 21:26:11] Lin: Ok
[30/3/2026, 21:26:32] Lin: Cancelled
[30/3/2026, 23:08:59] Adam Yogesh: TXXtqNBUQNnVExFL8MfX14n4KpLAUX5ZAA
[30/3/2026, 23:09:09] Adam Yogesh: THIS IS OUR *NEW WALLET* FOR NEXT PAYMENT PLEASE SEND HERE
‎[30/3/2026, 23:09:27] Adam Yogesh: ‎<attached: 00003097-AUDIO-2026-03-30-23-09-27.opus>
[30/3/2026, 23:09:35] Adam Yogesh: ‎Adam Yogesh pinned a message
[31/3/2026, 09:13:34] ~ Sapan: Gm price pls
[31/3/2026, 09:13:48] ANGEL BOSS: Same yesterday
[31/3/2026, 13:16:38] ~ Sapan: Gold have ?
[31/3/2026, 13:18:48] ~ Sapan: Sorry platinum have
[31/3/2026, 13:44:38] ~ Sapan: Prices
[1/4/2026, 15:33:28] ~ Sapan: 30 kg bars have
[1/4/2026, 15:35:57] ~ Max: Bar dont have
[2/4/2026, 12:50:56] ~ Sapan: Hello
[2/4/2026, 12:51:00] ~ Sapan: Today have ball
[2/4/2026, 12:51:06] ~ Sapan: 350 kgs need
[2/4/2026, 12:51:23] ANGEL BOSS: Don't have sliver
[2/4/2026, 12:51:25] ANGEL BOSS: All sold
[2/4/2026, 12:51:40] ~ Sapan: Kk
[3/4/2026, 16:33:55] ~ Max: ‎This message was deleted.
[4/4/2026, 10:58:17] Lucifer: ‎ANGEL BOSS added Lucifer
[6/4/2026, 16:11:37] ~ Sapan: Hello do we have ce stock for Tomm
[6/4/2026, 16:11:56] ANGEL BOSS: Yes have
[6/4/2026, 17:18:57] ~ Sapan: Price if we lock today then how much
[6/4/2026, 17:20:40] Lin: Silver price now 73.5 around
[6/4/2026, 17:22:32] ~ Sapan: Wat price can we book ?
[6/4/2026, 17:28:40] ~ Max: +1 net
[6/4/2026, 17:29:23] ~ Sapan: Means
[6/4/2026, 17:29:33] ~ Max: +1
[6/4/2026, 17:47:18] ~ Sapan: Need to book 500 kgs ?
Can we do at .9
[6/4/2026, 17:47:43] ~ Max: No
[7/4/2026, 12:09:16] ~ Max: 250kg done @+1
[7/4/2026, 12:09:23] ~ Max: Dont fix yet
[7/4/2026, 12:09:27] ANGEL BOSS: Ok
[7/4/2026, 12:11:46] ~ OE Jewellery Ltd: 👍🏻
[7/4/2026, 12:14:12] ~ Sapan: Buy 250 kg 
But wanna lock price for 100 kgs
[7/4/2026, 12:14:28] ~ Max: Want to lock now?
[7/4/2026, 12:14:30] ~ Sapan: Pls can send so I can confirm
[7/4/2026, 12:14:38] ~ Sapan: 100 kg
[7/4/2026, 12:14:51] ~ Sapan: 150 will be open
[7/4/2026, 12:14:54] ~ Max: 100kg buy
[7/4/2026, 12:14:56] ~ Max: Spot
[7/4/2026, 12:15:00] Lin: Ok
[7/4/2026, 12:15:17] ~ Sapan: Buy 250 kg lock for 100 kg as of now
[7/4/2026, 12:15:25] Lin: 72.416
[7/4/2026, 12:15:36] Lin: Buy 100k
[7/4/2026, 12:15:40] ~ Max: Ok
[7/4/2026, 12:15:44] ~ Max: @⁨~Sapan⁩
[7/4/2026, 12:16:06] Gusini: 72.416+1=73.416/31.1035*100000=236038
[7/4/2026, 12:17:10] Gusini: 150kg 390631usdt
[7/4/2026, 12:17:30] Gusini: 236038+390631=626669usdt
[7/4/2026, 12:19:27] Gusini: TXXtqNBUQNnVExFL8MfX14n4KpLAUX5ZAA
[7/4/2026, 12:19:49] Gusini: Please test the small amount before payment.
[7/4/2026, 12:25:06] Adam Yogesh: pl send copy
[7/4/2026, 12:25:14] ~ Sapan: Yes
[7/4/2026, 12:25:19] ~ Sapan: Sending
[7/4/2026, 12:36:46] ~ OE Jewellery Ltd: 搞錯了 客人定250kg 其中100kg 要先鎖價
[7/4/2026, 12:37:10] Gusini: 对呀 100kg锁价了
[7/4/2026, 12:37:10] ~ OE Jewellery Ltd: 但客人還沒有打U呢 怎麼就鎖價了？
[7/4/2026, 12:37:27] ~ OE Jewellery Ltd: 1u都沒收
[7/4/2026, 12:37:43] ANGEL BOSS: See
[7/4/2026, 12:38:06] ~ OE Jewellery Ltd: 我要收U地址給客人 客人打20% U 然後鎖價
[7/4/2026, 12:38:20] ~ OE Jewellery Ltd: 客人等我們的地址打U
[7/4/2026, 12:38:26] ANGEL BOSS: 那你群里不要叫锁价啊
[7/4/2026, 12:38:34] ~ OE Jewellery Ltd: @⁨~Sapan⁩
[7/4/2026, 12:38:34] ANGEL BOSS: TXXtqNBUQNnVExFL8MfX14n4KpLAUX5ZAA
[7/4/2026, 12:38:36] Gusini: 这个地址
[7/4/2026, 12:38:39] ~ OE Jewellery Ltd: 好
[7/4/2026, 12:39:20] ~ OE Jewellery Ltd: 我跟客人確定一下
[7/4/2026, 12:39:35] ~ OE Jewellery Ltd: 如果他可以就按這個價
[7/4/2026, 12:40:43] ANGEL BOSS: 现在确定
[7/4/2026, 12:40:56] ANGEL BOSS: 因为我们现在平仓不会亏钱
[7/4/2026, 12:41:02] ANGEL BOSS: 晚了就要亏钱的
[7/4/2026, 12:41:02] ~ OE Jewellery Ltd: 我問他
[7/4/2026, 12:41:25] ~ OE Jewellery Ltd: 他打U
[7/4/2026, 12:41:33] ANGEL BOSS: 确定了对吧
[7/4/2026, 12:50:11] ~ OE Jewellery Ltd: 平倉
‎[7/4/2026, 12:50:30] ~ OE Jewellery Ltd: ‎<attached: 00003170-PHOTO-2026-04-07-12-50-30.jpg>
[7/4/2026, 12:50:35] Lin: 好的挂单
[7/4/2026, 12:50:37] ~ OE Jewellery Ltd: 100晚點鎖
[7/4/2026, 12:51:18] ~ OE Jewellery Ltd: 算一下250kg付110% 先不鎖價總數多少
[7/4/2026, 12:51:24] Gusini: 好的
[7/4/2026, 12:51:46] Lin: Limit sell 100k@72.416   order working
[7/4/2026, 12:52:32] ~ OE Jewellery Ltd: 609提？
[7/4/2026, 12:53:07] ANGEL BOSS: 是的
[7/4/2026, 12:53:12] ~ OE Jewellery Ltd: 好
[7/4/2026, 12:53:47] Gusini: 250kg 651052usdt
[7/4/2026, 12:54:00] Gusini: TXXtqNBUQNnVExFL8MfX14n4KpLAUX5ZAA
[7/4/2026, 12:54:00] ~ OE Jewellery Ltd: 好
[7/4/2026, 12:54:05] Gusini: 付款前请先测试小笔金额
‎[7/4/2026, 13:00:49] ~ OE Jewellery Ltd: ‎<attached: 00003183-PHOTO-2026-04-07-13-00-49.jpg>
[7/4/2026, 13:00:54] ~ OE Jewellery Ltd: 查
[7/4/2026, 13:01:17] Adam Yogesh: recvd
‎[7/4/2026, 13:05:48] ~ OE Jewellery Ltd: ‎<attached: 00003186-PHOTO-2026-04-07-13-05-48.jpg>
‎[7/4/2026, 13:17:03] ~ OE Jewellery Ltd: ‎<attached: 00003187-PHOTO-2026-04-07-13-17-03.jpg>
[7/4/2026, 13:17:06] ~ OE Jewellery Ltd: 查
[7/4/2026, 13:17:22] Adam Yogesh: RECVD
[7/4/2026, 13:17:48] Gusini: 250kg 款已收齐
[7/4/2026, 13:18:13] ~ OE Jewellery Ltd: 可放貨
‎[7/4/2026, 13:20:24] ~ OE Jewellery Ltd: ‎<attached: 00003192-PHOTO-2026-04-07-13-20-24.jpg>
[7/4/2026, 13:20:29] ~ OE Jewellery Ltd: Done ✔️
‎[7/4/2026, 13:22:04] Gusini: 已付250公斤 ‎<attached: 00003194-PHOTO-2026-04-07-13-22-04.jpg>
[7/4/2026, 13:32:46] Lin: Filled  平仓了
[7/4/2026, 13:33:36] ~ OE Jewellery Ltd: Ok
[7/4/2026, 13:33:44] ~ OE Jewellery Ltd: Thanks
‎[7/4/2026, 15:18:50] ~ OE Jewellery Ltd: ‎<attached: 00003198-PHOTO-2026-04-07-15-18-50.jpg>
[7/4/2026, 15:19:14] ANGEL BOSS: 不可能的
[7/4/2026, 15:19:20] ANGEL BOSS: 我们从没有这种事
[7/4/2026, 15:19:23] ~ OE Jewellery Ltd: 客人說20kg的少10克😂
[7/4/2026, 15:19:30] ~ OE Jewellery Ltd: 有丫😅
[7/4/2026, 15:19:35] ANGEL BOSS: 提货需要当面复称的
[7/4/2026, 15:19:56] ~ OE Jewellery Ltd: 在現場連袋稱了
‎[7/4/2026, 15:20:09] ~ OE Jewellery Ltd: ‎<attached: 00003205-PHOTO-2026-04-07-15-20-09.jpg>
[7/4/2026, 15:20:19] ~ OE Jewellery Ltd: 問題是…
‎[7/4/2026, 15:20:20] ANGEL BOSS: ‎<attached: 00003207-PHOTO-2026-04-07-15-20-20.jpg>
‎[7/4/2026, 15:20:20] ANGEL BOSS: ‎<attached: 00003208-PHOTO-2026-04-07-15-20-20.jpg>
‎[7/4/2026, 15:20:21] ANGEL BOSS: ‎<attached: 00003209-PHOTO-2026-04-07-15-20-21.jpg>
‎[7/4/2026, 15:20:21] ANGEL BOSS: ‎<attached: 00003210-PHOTO-2026-04-07-15-20-21.jpg>
‎[7/4/2026, 15:20:21] ANGEL BOSS: ‎<attached: 00003211-PHOTO-2026-04-07-15-20-21.jpg>
[7/4/2026, 15:20:27] ~ OE Jewellery Ltd: 對的
[7/4/2026, 15:20:46] ANGEL BOSS: 0.03×1000=30
[7/4/2026, 15:20:47] ~ OE Jewellery Ltd: 但客人回去倒出來稱就是少了
[7/4/2026, 15:20:54] ANGEL BOSS: 皮30克一袋
[7/4/2026, 15:21:34] ~ OE Jewellery Ltd: 可否兩個袋子加線用其他稱試下
[7/4/2026, 15:21:45] ~ OE Jewellery Ltd: 因為不是一次😅
[7/4/2026, 15:21:52] ~ OE Jewellery Ltd: 不同客人
[7/4/2026, 15:21:58] ANGEL BOSS: 可以啊
[7/4/2026, 15:24:16] ANGEL BOSS: 肯定是他们的称不对，他们都自己复称了几袋
[7/4/2026, 15:24:18] ~ OE Jewellery Ltd: 辛苦了
[7/4/2026, 15:24:29] ANGEL BOSS: 提货人在工厂全部复过的
[7/4/2026, 15:24:40] ~ OE Jewellery Ltd: 現場是有复稱的
[7/4/2026, 15:27:14] ANGEL BOSS: 我们不管，称一克不少
[7/4/2026, 15:27:14] ANGEL BOSS: 他们自己也复称了的，我全部堆在称的旁边，他们自己复了几袋10公斤20公斤的都没少
[7/4/2026, 15:31:17] ~ OE Jewellery Ltd: 好吧
‎[7/4/2026, 15:40:51] ~ Max: ‎<attached: 00003227-PHOTO-2026-04-07-15-40-51.jpg>
[7/4/2026, 15:41:52] Adam Yogesh: recvd
[7/4/2026, 16:21:48] ~ OE Jewellery Ltd: 麻煩現在鎖105kg
[7/4/2026, 16:21:56] Lin: 好
[7/4/2026, 16:22:21] Lin: 72.091
[7/4/2026, 16:22:29] Lin: Buy 105k
[7/4/2026, 16:22:52] ~ OE Jewellery Ltd: Ok
[7/4/2026, 16:22:59] ~ Sapan: Pls keep seperate
[7/4/2026, 16:24:54] Gusini: Repeated list?
[7/4/2026, 16:47:31] ~ Sapan: Means
[7/4/2026, 19:12:09] ~ OE Jewellery Ltd: 鎖80kg 現在
[7/4/2026, 19:12:15] ~ OE Jewellery Ltd: @⁨Gusini⁩ @⁨ANGEL BOSS⁩
[7/4/2026, 19:12:17] Lin: 好
[7/4/2026, 19:12:38] Lin: 71.434
[7/4/2026, 19:12:47] Lin: Buy 80k
[7/4/2026, 19:12:58] ~ OE Jewellery Ltd: 好👌🏻
[7/4/2026, 19:15:23] ~ OE Jewellery Ltd: 250-105-80=65kg
[7/4/2026, 19:16:12] ~ OE Jewellery Ltd: 65kg 設定鎖價67.8 謝謝 @⁨Gusini⁩ @⁨ANGEL BOSS⁩
[7/4/2026, 19:16:21] Lin: 好的
[7/4/2026, 19:16:56] Lin: Working
[7/4/2026, 19:18:09] ~ OE Jewellery Ltd: Thanks 🙏🏻
[7/4/2026, 19:23:59] ~ OE Jewellery Ltd: 這單可以設鎖價69？
[7/4/2026, 19:24:28] Lin: 要改价格69？
[7/4/2026, 19:24:38] ~ OE Jewellery Ltd: 不是
[7/4/2026, 19:25:00] ~ OE Jewellery Ltd: 是之前打左25000u 10kg的
[7/4/2026, 19:25:07] ~ OE Jewellery Ltd: 另一張單
[7/4/2026, 19:36:40] ~ OE Jewellery Ltd: 抱歉 搞錯了
[7/4/2026, 19:36:46] ~ OE Jewellery Ltd: 不是這邊的
[7/4/2026, 19:37:02] ~ OE Jewellery Ltd: 10kg的鎖價取消🙏🏻
[7/4/2026, 19:37:15] ~ OE Jewellery Ltd: 這個不變
[7/4/2026, 19:38:22] Lin: 好的
[7/4/2026, 20:17:21] Adam Yogesh: TRF6sKakfvwhrvfAaVwSX7SF7WW5QiyB3e
[7/4/2026, 20:17:32] Adam Yogesh: THIS IS OUR *NEW WALLET* FOR NEXT PAYMENT PLEASE SEND HERE
‎[7/4/2026, 20:17:48] Adam Yogesh: ‎<attached: 00003260-AUDIO-2026-04-07-20-17-48.opus>
[7/4/2026, 20:26:58] Adam Yogesh: ‎Adam Yogesh pinned a message
‎[7/4/2026, 21:53:28] Gusini: ‎<attached: 00003262-PHOTO-2026-04-07-21-53-28.jpg>
‎[7/4/2026, 21:55:55] Gusini: ‎<attached: 00003263-PHOTO-2026-04-07-21-55-55.jpg>
[8/4/2026, 11:55:23] ~ Sapan: Good afternoon
[8/4/2026, 11:55:30] ~ Sapan: Have today stock
[8/4/2026, 12:14:32] ~ Sapan: ????
[9/4/2026, 14:20:53] ~ OE Jewellery Ltd: 麻煩65kg現在鎖
[9/4/2026, 14:21:01] Lin: 好的
[9/4/2026, 14:21:03] ~ OE Jewellery Ltd: 現在鎖價
[9/4/2026, 14:21:28] Lin: 74.171
[9/4/2026, 14:21:33] Lin: Buy 65k
[9/4/2026, 14:21:42] Lin: Cancelled
[9/4/2026, 14:21:47] ~ OE Jewellery Ltd: 好
[9/4/2026, 14:23:36] ~ OE Jewellery Ltd: 計數
[9/4/2026, 14:23:50] Gusini: 好的
[9/4/2026, 14:28:40] Gusini: 72.091+1=73.091*32.1507*105=246742.32
71.434+1=72.434*32.1507*80=186304.30
74.171+1=75.171*32.1507*65=157092.02
246742.32+186304.3+157092.02=590138.64-651052=-60913存
[9/4/2026, 14:43:40] ~ OE Jewellery Ltd: TWzcrGHX927dJfp6WP5dFkXkTNMxy8EzGp
[9/4/2026, 14:43:59] ~ OE Jewellery Ltd: 請轉回以上地址👆🏻
[9/4/2026, 14:44:02] ~ OE Jewellery Ltd: Thx
[9/4/2026, 14:53:07] ~ OE Jewellery Ltd: @⁨Gusini⁩ @⁨ANGEL BOSS⁩
[9/4/2026, 14:54:58] ANGEL BOSS: 晚点给你付，或者明天
[9/4/2026, 14:55:20] ~ OE Jewellery Ltd: 現在不可？
[9/4/2026, 14:55:32] ANGEL BOSS: 没有留u都用完了
[9/4/2026, 14:56:05] ~ OE Jewellery Ltd: 那怎麼辦 客人其他地方訂貨用
[9/4/2026, 14:56:19] ~ OE Jewellery Ltd: 這邊有沒有珠？
[9/4/2026, 14:56:24] ~ OE Jewellery Ltd: 260kg
[9/4/2026, 14:57:03] ANGEL BOSS: 明天晚上有珠子
[9/4/2026, 14:57:20] ~ OE Jewellery Ltd: 今天晚上要提貨😂
[9/4/2026, 14:57:35] ANGEL BOSS: 没有货
[9/4/2026, 14:57:52] ~ OE Jewellery Ltd: 那能不能今晚退U給客人？
[9/4/2026, 14:58:00] ~ OE Jewellery Ltd: 他要買貨
[9/4/2026, 14:58:03] ~ OE Jewellery Ltd: 要用
[9/4/2026, 14:58:06] ANGEL BOSS: 等会有u到就退
[9/4/2026, 14:58:15] ~ OE Jewellery Ltd: 好
